 ,,Google Drive Link: https://drive.google.com/drive/folders/1nSiw3mkP1B4IReRq980WTEhf6HkPFSeb?usp=share_link,,,,,,,,,,,,,,,,,,,
Name,Photo Link,References: https://www.businessinsider.com/january-6-committee-hearings-witnesses-marc-short-jeff-rosen-2022-6#jason-van-tatenhove-former-oath-keepers-spokesman-21,,,,,,,,,,,,,,,,,,,
Jeffrey Rosen,https://drive.google.com/file/d/1XOMSIbBQL69ZMY2Z5WcGQwBR8hSharTX/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jenna Ellis,https://drive.google.com/file/d/1ruD0UFaLFQTsLXPIgDMoSJz19vHxwlrA/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jennifer Moore,https://drive.google.com/file/d/1mYiWPo-LLXlSoZMP5aHtmsKdnCP0ZSrc/view?usp=share_link, ,,,,,,,,,,,,,,,,,,,
Jeremy Bertino,https://drive.google.com/file/d/1UsHVLQ1ryhOkbveP7tNizwOFKtPHszGP/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jeremy Liggett,https://drive.google.com/file/d/1r-Dg6ZmDnkAQVvrhYGRUeamSdSgZQAHr/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jewll Powdrell,CANNOT LOCATE, ,,,,,,,,,,,,,,,,,,,
Jocelyn Benson,https://drive.google.com/file/d/1iIHsbCJR0bLToiDPA5TFi8mrmKOD4Bi0/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jody Williams,https://drive.google.com/file/d/1uAigMnh6EzmD61siy3MASPrz5_fGdOjk/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John Douglas Wright,https://drive.google.com/file/d/1tPntIqrKruIRt5Bv8bESu5ccvbtP-cXp/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John Eastman,https://drive.google.com/file/d/1_LCqdBVVrLV9WhDx1FqJKv-WfRW44D6v/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John Isakson,https://drive.google.com/file/d/1XzJgOttAG-4BxL9vhWqO1yw78agL8zDh/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John K. Donohue,https://drive.google.com/file/d/1715FYjIEgDvVpQyq75pmceyhR1Q78A9o/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John Matze,https://drive.google.com/file/d/1mtPPBJAIpd27fLVqR3uvlUG7LanW9Wmk/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
John McEntee,https://drive.google.com/file/d/14CchHsuCdzZZIBOJpbGMuN2a-RGaEG-8/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
"John Michael ""Mick"" Mulvaney",https://drive.google.com/file/d/17tN4Jda9sCqGrwMw5_w_Bf1IYnwqjTtt/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Josh Ellis,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Joshua Findlay,https://drive.google.com/file/d/1xZG9Y3kHqgxtvAsLsZtO4TQULdBhK4cn/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Joshua Macias,https://drive.google.com/file/d/1M7WfBxVKk468TUjIPPJHk_fLHt2pAx3h/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Judson P. Deere,https://drive.google.com/file/d/1LWwTJY7YrDCdyasMV53HBCYNIXWNqfzu/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Julia Fancelli,https://drive.google.com/file/d/1-Te_sYqG0jTul7V735ed__1WWy7T50x9/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Julie Farnam,https://drive.google.com/file/d/13yOJ8z25FzPbtx0dxbEpfG-OYp0sjyra/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Julie T. Radford,https://drive.google.com/file/d/1Vci0YOMdcNZ3u-vFV-9ZxWG0GZ0maAjH/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Justin Caporale,https://drive.google.com/file/d/1v-XU9STugkLZIowo0hk-NxCiOD8ifIoW/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Justin Clark,https://drive.google.com/file/d/1txhaquH2yYmWOyAWFTBBovUMF7eiQZ1h/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kashyap Pramod Patel,https://drive.google.com/file/d/1IeqV6GHlOVpTmFuWzNIdW3qyBpnHvZcJ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kathy Berden,https://drive.google.com/file/d/1ndxw6NCESocMDg9AinCEJI3aKFIfBx9_/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Katrina Pierson,https://drive.google.com/file/d/1sHsoGyCsH6Nkw2NJApOMpt_8mdK1iARp/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kayleigh McEnany,https://drive.google.com/file/d/1mtBXXgrQjp4QmPrycDZjvU8cLfX2lJnO/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Keith Kellogg Jr.,https://drive.google.com/file/d/1gwAlY7ELEhx82yAQj8RG05jPCgHrfkIy/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kelli Ward,https://drive.google.com/file/d/1-m9ZP0d9wFvKXWhFjMlsd_vQeRneFRk5/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kelly Ruh,https://drive.google.com/file/d/1FxbM7UZxBTLT8EKFMeK4bgr9fTiPhgsW/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kellyanne Conway,https://drive.google.com/file/d/18IsysRRxd6ABR0SxOiyfgKRaRTFVeRx6/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kellye SoRelle,https://drive.google.com/file/d/1BQ1K9DKofpOl5_cnlc14XDur9BvcpiQF/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Ken Cuccinelli,https://drive.google.com/file/d/17j_b2_gFedq_xKzzv-kB1fhsiWndMAwL/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kenneth Chesebro,https://drive.google.com/file/d/17j_b2_gFedq_xKzzv-kB1fhsiWndMAwL/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kenneth Klukowski,https://drive.google.com/file/d/1SJxnIXp12q5_wsva_CPPaBK50TDLjZoM/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kevin Zambrano,https://drive.google.com/file/d/16gJb2TyXA1w4B2RT7MG0wugZU7VRFf_h/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kimberly Fletcher,https://drive.google.com/file/d/1RsxjSTFehqwF4L7OUltuIlUQPTlnti2H/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kimberly Guilfoyle,https://drive.google.com/file/d/1Cwo14X6rbyP77iCqgirSg4xKXSNi_nFf/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kristin Davis,https://drive.google.com/file/d/1q0FQBqc1kJbP9bjl_zm6r-WBNqAXbHpO/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Kylie Kremer,https://drive.google.com/file/d/1iucIEAV__Vo5GldZT_jxMWbR3Qnolk_v/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Landon Bentley,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Larry Weitzner,https://drive.google.com/file/d/1kGvziKe-9Jh2Cip6Ir2EXQIfagvixWbm/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Laura Cox,https://drive.google.com/file/d/11-es_n4U57ldsnHa2o-noUYQJej1vuDq/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Lawrence Stackhouse,https://drive.google.com/file/d/1r3J9y_IVvdgkVgCUhLl8QBvlQ01fJlxl/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Lewis Cantwell,https://drive.google.com/file/d/1SAQg0Xos9dn1LgxLEL4KcQKJt7iRq4f1/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Madison Fox Porter,https://drive.google.com/file/d/1Th0UftLGkpFFeszhFEAzgABjp-XBZ988/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Marc Short,https://drive.google.com/file/d/1m4cjQQkQxwy66ucENkOCpvUs70SxNIzA/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Marcia Strickler,https://drive.google.com/file/d/1a_gbp82faiCx_upBIRnjdZpzaUgmbRHp/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
